
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006
			BB17-000122-30	BB17-000122-30	PLUG, HEX HD, .312 MSAE, LONG THREAD,	DepReq	ProjSt			-16					06.12.2022	C03	             8792202		M25	EA	            160
			BB17-000158-93	BB17-000158-93	NIPPLE, CLOSE,3/4NPT X 1.375 LG. SCH 40,	DepReq	ProjSt			-3					06.12.2022	C03	             8792202		M25	EA	            159
			BB15-000686-63	BB15-000686-63	CONN-ELECT PART,RUBBER BOOT SEAL CAP	DepReq	ShpgNt	         4501724371	                  50	-4	              8			15.09.2022	06.12.2022	C03	             8792202		BC7	EA	            250
			BB15-000719-81	BB15-000719-81	FEMALE CONN FS FOR RAYCHEM 22GA "HT"(.0	DepReq	ProjSt			-108					06.12.2022	C03	             8792202		BQ7	EA	            159
			BB15-000719-82	BB15-000719-82	MALE CONN MP FOR RAYCHEM 22 GA"HT"(.041	DepReq	ProjSt			-22					06.12.2022	C03	             8792202		BQ7	EA	            180
			BB15-000181-04	BB15-000181-04	WIRE STUB,RAYCHEM 22GA(.041 DIA)"HT"	DepReq	QM-lot	        10003212786		-102	            204		26.10.2022	26.10.2022	06.12.2022	C03	             8792202		BC0	EA	            140
			BB15-000606-07	BB15-000606-07	2 PIN BOOT	DepReq	QM-lot	        10003212785		-77	            154		26.10.2022	26.10.2022	06.12.2022	C03	             8792202		BC0	EA	            160
			10102437	10102437	SIX PIN TERMINAL BLOCK FOR CONNECTING UP	DepReq	ShpgNt	         4501726461	                  70	-19	             30			19.10.2022	06.12.2022	C03	             8792202		BC7	EA	            180
			BB18-000130-64	BB18-000130-64	TAG, IDENTIFICATION,1.000 DIAW/.187 MTG	DepReq	ProjSt			-10					06.12.2022	L02	             8792202		BC0	EA	            159
			10187811	10187811	SEAL RING TERMINAL M6 16-14 AWG BLUE	DepReq	ProjSt			-2					06.12.2022	L02	             8792202		BC5	EA	            180
			BB17-000242-31	BB17-000242-31	SPCR,VOL EXCLUDER,269 CUBIC INCH DISPLAC	DepReq	ProjSt			-2					06.12.2022	C03	             8792202		BC3	EA	            159
			BB17-000242-29	BB17-000242-29	SPCR,VOL EXCLUDER,623 CUBIC INCH,DISPLAC	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		BC3	EA	            160
			BB17-000125-01	BB17-000125-01	WASHER, FLAT,TYPE "B" REGULAR, .250 NOM,	DepReq	ProjSt			-24					06.12.2022	C03	             8792202		BC5	EA	            189
			BB17-000243-51	BB17-000243-51	SCREW HEX, 0,375-16UNRCX1,25, 316SH	DepReq	ProjSt			-4					06.12.2022	C03	             8792202		BC5	EA	            160
			BB28-000327-21	BB28-000327-21	WLDMT,MANIF,HYDR,ADAPTER,8,250PSI VLV MT	DepReq	POitem	         4501726466	                  20	-2	              4			09.11.2022	06.12.2022	C03	             8792202		U30	EA	            218
			BB18-000132-03	BB18-000132-03	VLV BODY,1/4" CHK VLV	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            280
